🕘️更新时间,#genre#
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江公共新闻,http://ivi.bupt.edu.cn/hls/zhejianggonggong.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8

🪁动画频道,#genre#
卡酷动画,http://ivi.bupt.edu.cn/hls/kaku.m3u8
金鹰卡通,http://ivi.bupt.edu.cn/hls/jinying.m3u8
金鹰卡通,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz1lZmUyNDYyZGQzNDY0MGNkZTc4ZjhhMzg0NzVkNDliYSZ1aWQ9JnV1aWQ9ZTNmYmM2ZTlmMmVhNDQzMGI3MzJhYzVkYWU4Njk1MjgtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2ODIyNjE0Mw,,/JYKTMPP360.m3u8

📺湖南频道,#genre#
湖南爱晚,http://ivi.bupt.edu.cn/hls/hunanaiwan.m3u8
湖南爱晚,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1hbF9waG9uZTMmY2hzPSZkZWY9MSZzPWU1OWZiYzllOTJmMjdhMzcyMTJlOWNlMzFmYzViOGViJnVpZD0mdXVpZD1iZDE2YjYzZjFmOTA0YWQ5OTVlNzA0NDJjYmE3MWVmYi02YTBlMjYzNyZ2PTImYXM9MCZlcz0xNzY4MjI5NzA0/HNGGMPP360.m3u8
湖南娱乐频道,http://ivi.bupt.edu.cn/hls/hunanyule.m3u8
湖南娱乐频道,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1od19waG9uZSZjaHM9JmRlZj0xJnM9MGQ3N2MxODg0N2ZmYzI4ZWQ3MGYwNDE0YTI5NWFkOTUmdWlkPSZ1dWlkPWYxNjllYzkwMmMwYzE4MTkyNWE4YTBjMTJmZGJkNzMxLTZhMGUyNjM3JnY9MiZhcz0wJmVzPTE3NjgyMTU2MTI,/HNYLMPP360.m3u8
湖南国际频道,http://ivi.bupt.edu.cn/hls/hunanguoji.m3u8
湖南国际频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz0xOGZiN2M5NGU0MzRiOWIxYTQ2YzE4MGYwOTNiODM5NCZ1aWQ9JnV1aWQ9NzhjZDdiNjY5MDExZWYxOGQ3ODAxMDc4YjVjNDIwZmEtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2ODIyMjg1MA,,/HNGJMPP360.m3u8
长沙新闻频道,http://ivi.bupt.edu.cn/hls/changshaxinwen.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz03NGY1MTJhMDYyNzQ1OTA5ZTBmNDUzZjVkNGZjNmVkMiZ1aWQ9JnV1aWQ9OWM4ZjMxYWJmMTZkYmI5ZWI1NWFmM2U3YzgyNWEwMjEtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2ODIwNDg1MA,,/CSXWMPP360.m3u8
